epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,276.813,1.17818,0.83213,1.12675,0.8481,0.71875,0.79098,0.40261,1.63606,1.00476,1.43921,0.0015941,0.0015941,0.0015941
43,281.927,1.27873,0.82775,1.17874,0.65952,0.82812,0.73965,0.39915,1.577,1.04103,1.44166,0.0015842,0.0015842,0.0015842
44,290.436,1.21347,0.84699,1.12618,0.75208,0.8125,0.799,0.42548,1.59673,1.08466,1.36342,0.0015743,0.0015743,0.0015743
45,295.917,1.22921,0.84529,1.13169,0.8282,0.78125,0.81531,0.4614,1.5946,0.9545,1.34219,0.0015644,0.0015644,0.0015644
46,301.155,1.27417,0.77228,1.16738,0.87025,0.76562,0.82086,0.44862,1.57184,1.09421,1.35768,0.0015545,0.0015545,0.0015545
47,309.359,1.17373,0.78158,1.09907,0.82625,0.71875,0.75758,0.38139,1.70219,1.06713,1.46628,0.0015446,0.0015446,0.0015446
48,314.302,1.22641,0.77135,1.09747,0.78072,0.79688,0.78349,0.38988,1.77761,1.08888,1.5126,0.0015347,0.0015347,0.0015347
49,319.613,1.1797,0.77995,1.09915,0.81724,0.70312,0.75421,0.41204,1.63131,1.0836,1.40359,0.0015248,0.0015248,0.0015248
50,327.739,1.18085,0.77006,1.10961,0.82223,0.70312,0.77806,0.43324,1.61379,1.03794,1.34887,0.0015149,0.0015149,0.0015149
51,332.859,1.21257,0.76417,1.10483,0.84225,0.6875,0.73965,0.40438,1.65329,1.13461,1.35923,0.001505,0.001505,0.001505
52,338.323,1.13053,0.72825,1.10456,0.76365,0.8125,0.78533,0.38424,1.71492,1.02107,1.35227,0.0014951,0.0014951,0.0014951
53,346.59,1.20615,0.75913,1.10772,0.80818,0.79006,0.82565,0.42076,1.59854,0.98593,1.33615,0.0014852,0.0014852,0.0014852
54,352.007,1.12634,0.74425,1.08643,0.81138,0.79688,0.86428,0.44706,1.55814,0.96193,1.297,0.0014753,0.0014753,0.0014753
55,357.358,1.10507,0.72278,1.07069,0.82043,0.8125,0.89599,0.44439,1.66905,0.94085,1.38314,0.0014654,0.0014654,0.0014654
56,366.034,1.14938,0.76972,1.05916,0.7951,0.84375,0.85913,0.44212,1.60877,0.93479,1.38423,0.0014555,0.0014555,0.0014555
57,371.041,1.12527,0.73037,1.08674,0.88754,0.79688,0.84563,0.41699,1.61295,0.97973,1.42753,0.0014456,0.0014456,0.0014456
58,376.517,1.09974,0.70533,1.07488,0.7989,0.80701,0.85421,0.46121,1.5815,0.96326,1.37056,0.0014357,0.0014357,0.0014357
59,384.74,1.11476,0.72375,1.11004,0.85195,0.82812,0.82111,0.41909,1.59825,0.98345,1.40144,0.0014258,0.0014258,0.0014258
60,390.215,1.14703,0.70644,1.08657,0.8194,0.77986,0.78832,0.43757,1.61675,0.94721,1.41808,0.0014159,0.0014159,0.0014159
61,395.371,1.08446,0.68653,1.02938,0.84316,0.79688,0.84629,0.4641,1.56166,0.88136,1.32197,0.001406,0.001406,0.001406
62,403.841,1.04844,0.68104,1.05494,0.82392,0.80431,0.86421,0.47124,1.5357,0.91829,1.40355,0.0013961,0.0013961,0.0013961
63,408.859,1.0891,0.66657,1.04866,0.79361,0.8125,0.82984,0.48037,1.47488,0.94157,1.36249,0.0013862,0.0013862,0.0013862
64,413.932,1.11817,0.66735,1.10256,0.86013,0.78125,0.84575,0.47476,1.53449,0.91339,1.36965,0.0013763,0.0013763,0.0013763
65,422.641,1.09834,0.70528,1.0685,0.81652,0.90625,0.88791,0.48588,1.57143,0.90674,1.3622,0.0013664,0.0013664,0.0013664
66,427.889,1.14073,0.68467,1.08032,0.85769,0.84755,0.83824,0.44189,1.59825,0.90588,1.38801,0.0013565,0.0013565,0.0013565
67,433.016,1.04561,0.66967,1.05814,0.8185,0.78125,0.79722,0.41128,1.62203,0.96416,1.39762,0.0013466,0.0013466,0.0013466
68,441.255,1.07439,0.66337,1.03981,0.8339,0.86295,0.86185,0.43505,1.60332,0.99274,1.42375,0.0013367,0.0013367,0.0013367
69,446.448,1.06396,0.64769,1.04684,0.84225,0.875,0.86909,0.44211,1.58905,0.91996,1.39509,0.0013268,0.0013268,0.0013268
