epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
184,1173.01,0.55808,0.37325,0.86868,0.93099,0.8125,0.89911,0.4763,1.58308,0.88085,1.40443,0.0001883,0.0001883,0.0001883
185,1179.61,0.57365,0.37616,0.85597,0.93227,0.8125,0.89855,0.47443,1.58921,0.86389,1.40824,0.0001784,0.0001784,0.0001784
186,1184.72,0.52234,0.35817,0.86126,0.92004,0.78125,0.88336,0.47459,1.595,0.86271,1.41064,0.0001685,0.0001685,0.0001685
187,1192.05,0.56726,0.39238,0.87092,0.93848,0.79688,0.90419,0.48418,1.59143,0.84889,1.41941,0.0001586,0.0001586,0.0001586
188,1198.88,0.54212,0.3764,0.87704,0.92953,0.82445,0.90799,0.48686,1.57769,0.84253,1.41154,0.0001487,0.0001487,0.0001487
189,1204.01,0.55049,0.36035,0.87086,0.92978,0.82756,0.90782,0.48395,1.57549,0.83252,1.40695,0.0001388,0.0001388,0.0001388
190,1211.37,0.52925,0.38158,0.8606,0.92915,0.82812,0.90848,0.47874,1.56671,0.82058,1.39823,0.0001289,0.0001289,0.0001289
191,1219.72,0.55646,0.37229,0.84418,0.85585,0.84375,0.88286,0.48325,1.57964,0.81918,1.41384,0.000119,0.000119,0.000119
192,1225.09,0.53408,0.34535,0.82634,0.94432,0.79497,0.89646,0.48532,1.57893,0.82726,1.427,0.0001091,0.0001091,0.0001091
193,1234.06,0.51893,0.33534,0.8291,0.9443,0.79476,0.8881,0.47757,1.5803,0.82052,1.42499,9.92e-05,9.92e-05,9.92e-05
194,1239.5,0.50995,0.33249,0.84114,0.9106,0.79688,0.88092,0.46955,1.58642,0.83967,1.42933,8.93e-05,8.93e-05,8.93e-05
195,1244.49,0.48466,0.32627,0.82567,0.89757,0.78125,0.85796,0.46744,1.59148,0.85913,1.43215,7.94e-05,7.94e-05,7.94e-05
196,1253.19,0.50635,0.34289,0.84689,0.88707,0.78125,0.85921,0.46264,1.58822,0.86548,1.42597,6.95e-05,6.95e-05,6.95e-05
197,1258.39,0.53317,0.33609,0.84246,0.843,0.83901,0.86263,0.46938,1.58525,0.87919,1.41757,5.96e-05,5.96e-05,5.96e-05
198,1263.43,0.5337,0.34723,0.84542,0.93213,0.78125,0.88932,0.47836,1.58163,0.86402,1.40879,4.97e-05,4.97e-05,4.97e-05
199,1271.48,0.51131,0.32495,0.83461,0.92965,0.78125,0.89017,0.47783,1.5865,0.8666,1.40966,3.98e-05,3.98e-05,3.98e-05
200,1276.91,0.4925,0.32506,0.82517,0.93076,0.78125,0.89023,0.4792,1.59444,0.8664,1.41011,2.99e-05,2.99e-05,2.99e-05
